CAMS 15 Monthly Oxides of Nitrogen Summary Report for February 2021
Channelview C15/AH115  - EPA Site: 48_201_0026
Oxides of Nitrogen (POC 2) measured in parts per billion
Central Standard Time
"Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Max,Min,Avg,Cap"
"02/01/2021,2.8,4.0,3.0,3.4,3.6,4.4,6.7,11.2,10.6,10.1,9.1,5.4,4.6,4.5,5.7,5.5,8.9,10.1,8.5,12.9,13.8,19.2,9.9,6.4,19.2,2.8,7.7,100.0"
"02/02/2021,4.7,4.1,6.8,15.1,12.1,19.5,40.9,49.8,23.8,26.3,20.2,12.5,13.2,15.2,18.7,20.2,23.8,22.0,30.3,21.6,32.2,29.9,27.9,34.7,49.8,4.1,21.9,100.0"
"02/03/2021,29.5,20.0,36.2,33.9,36.9,41.6,59.7,54.1,28.5,14.9,14.8,12.7,10.5,PMA,PMA,PMA,13.1,14.6,16.1,17.5,13.9,14.6,12.3,9.2,59.7,9.2,24.0,87.5"
"02/04/2021,16.4,7.5,3.7,4.1,8.0,11.6,6.2,11.5,12.1,8.6,4.4,3.4,2.8,4.7,9.8,5.3,8.5,7.9,8.5,9.7,10.7,4.0,3.7,6.1,16.4,2.8,7.5,100.0"
"02/05/2021,4.5,2.1,4.6,3.9,5.1,6.4,6.5,8.6,18.1,18.2,13.3,17.6,12.2,11.4,15.5,10.5,12.5,10.1,9.2,9.0,8.7,7.9,8.7,12.2,18.2,2.1,9.9,100.0"
"02/06/2021,9.4,8.5,9.7,9.8,8.6,10.7,10.3,11.3,10.9,11.1,14.3,11.6,17.3,26.6,29.1,27.6,27.1,10.0,10.1,13.9,7.7,3.0,3.2,3.1,29.1,3.0,12.7,100.0"
"02/07/2021,2.7,CAL,CAL,CAL,CAL,3.5,6.7,4.1,8.1,6.8,9.8,11.9,11.0,9.9,9.7,8.2,8.0,7.3,9.1,7.8,10.4,12.9,12.2,15.6,15.6,2.7,8.8,83.3"
"02/08/2021,11.8,14.6,13.1,11.8,12.5,15.0,21.7,24.5,21.1,11.9,9.3,7.2,9.2,11.7,15.8,11.6,12.0,14.1,16.1,15.9,13.8,9.4,16.1,14.7,24.5,7.2,14.0,100.0"
"02/09/2021,9.4,12.1,12.8,12.3,7.3,13.1,15.9,19.2,20.6,18.2,39.0,39.1,20.6,20.9,18.5,14.3,19.0,21.4,21.8,25.2,22.8,17.1,7.8,11.4,39.1,7.3,18.3,100.0"
"02/10/2021,5.3,6.0,8.2,7.0,5.7,12.1,13.8,11.9,19.9,31.7,27.4,14.0,11.7,11.2,PMA,11.7,CAL,CAL,CAL,CAL,CAL,5.0,4.3,4.1,31.7,4.1,11.7,75.0"
"02/11/2021,4.1,4.2,4.3,4.3,4.6,5.9,6.8,CAL,CAL,CAL,CAL,6.8,5.9,5.8,8.1,8.9,8.8,10.0,8.7,6.0,5.8,6.3,5.6,4.4,10.0,4.1,6.3,83.3"
"02/12/2021,4.1,3.6,4.0,5.6,8.2,7.8,9.7,9.9,9.1,7.8,7.2,6.5,6.8,6.0,6.5,4.8,4.8,5.5,4.6,3.9,4.7,6.3,5.6,4.7,9.9,3.6,6.2,100.0"
"02/13/2021,5.1,3.4,3.8,4.3,4.6,4.2,5.7,6.4,7.7,4.9,3.8,3.6,5.8,3.7,4.6,5.3,4.6,4.1,3.2,4.0,2.9,3.1,3.4,3.7,7.7,2.9,4.4,100.0"
"02/14/2021,3.6,SPN,SPN,3.0,3.9,3.0,2.4,2.0,2.7,3.6,3.3,3.8,3.3,2.8,2.9,3.0,3.3,3.6,3.7,3.3,2.6,3.9,3.6,3.3,3.9,2.0,3.2,91.7"
"02/15/2021,1.4,1.7,1.8,1.6,1.6,1.6,1.6,1.8,2.2,2.6,3.2,3.7,3.9,3.7,3.6,3.0,2.3,2.9,FEW,LST,LST,LST,LST,LST,3.9,1.4,2.5,75.0"
"02/16/2021,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,,,,0.0"
"02/17/2021,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,AQI,3.6,2.7,2.6,FEW,LST,LST,LST,LST,AQI,4.4,4.4,2.6,3.3,16.7"
"02/18/2021,3.3,2.5,1.7,1.8,1.9,1.9,2.6,2.9,2.7,2.6,2.5,2.3,2.6,2.1,1.9,2.1,1.7,2.4,2.1,2.0,1.8,1.6,1.7,1.7,3.3,1.6,2.2,100.0"
"02/19/2021,1.8,1.7,1.6,1.9,2.6,2.3,3.2,4.5,5.4,8.3,5.7,3.7,4.0,4.2,3.8,4.2,4.2,3.8,5.1,13.5,30.9,63.1,47.7,77.7,77.7,1.6,12.7,100.0"
"02/20/2021,71.4,21.4,9.0,6.4,6.0,8.5,18.2,34.1,31.3,10.8,9.9,11.4,7.7,8.9,8.1,6.8,5.4,5.9,6.9,10.1,12.2,16.8,7.9,8.8,71.4,5.4,14.3,100.0"
"02/21/2021,8.9,SPN,SPN,9.8,15.5,21.5,24.6,34.7,26.5,28.3,17.9,2.6,2.3,2.9,2.0,2.7,16.7,21.1,27.0,29.0,32.9,51.5,64.9,56.4,64.9,2.0,22.7,91.7"
"02/22/2021,68.1,60.5,25.8,11.9,8.0,7.5,5.9,6.7,14.3,12.3,8.4,7.2,6.6,3.0,1.8,2.6,2.5,3.8,17.3,28.8,62.0,59.5,36.1,31.8,68.1,1.8,20.5,100.0"
"02/23/2021,28.8,27.5,23.1,16.5,26.0,58.3,121.0,147.6,109.1,58.8,18.6,13.0,26.3,27.2,18.1,23.8,10.6,9.1,11.5,12.9,9.9,9.5,8.6,10.7,147.6,8.6,34.4,100.0"
"02/24/2021,12.0,9.1,15.1,9.9,15.1,22.8,83.1,98.5,14.5,12.6,5.9,5.6,5.7,4.1,5.3,3.8,5.9,5.9,7.9,13.4,8.5,5.8,3.8,5.1,98.5,3.8,15.8,100.0"
"02/25/2021,3.8,3.1,6.8,5.6,3.5,12.0,35.2,52.8,38.8,45.4,36.1,22.1,23.4,19.0,31.0,32.0,34.1,32.5,36.3,31.8,29.2,19.6,8.1,11.1,52.8,3.1,23.9,100.0"
