CAMS 15 Monthly Oxides of Nitrogen Summary Report for January 2021
Channelview C15/AH115  - EPA Site: 48_201_0026
Oxides of Nitrogen (POC 2) measured in parts per billion
Central Standard Time
"Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Max,Min,Avg,Cap"
"01/01/2021,3.8,2.9,2.4,2.3,1.7,2.0,2.2,2.1,3.1,2.3,1.9,1.3,1.9,1.7,1.8,1.8,1.6,2.0,1.8,2.2,3.0,1.7,1.3,0.9,3.8,0.9,2.1,100.0"
"01/02/2021,1.5,2.6,2.8,0.9,1.3,2.3,3.1,3.4,2.5,2.2,2.7,4.0,3.1,2.4,3.9,2.4,2.2,1.3,3.5,12.6,15.2,35.9,52.8,52.4,52.8,0.9,9.0,100.0"
"01/03/2021,42.7,SPN,SPN,28.5,27.6,24.2,20.7,19.1,14.4,7.5,3.5,2.7,2.7,3.4,3.2,3.3,4.7,7.6,9.8,17.1,10.4,17.9,23.0,20.9,42.7,2.7,14.3,91.7"
"01/04/2021,5.5,3.7,9.1,15.9,21.2,24.2,38.9,45.2,75.7,49.2,18.6,10.3,5.2,5.4,6.0,6.4,6.6,9.9,49.4,65.6,104.5,101.9,63.3,53.0,104.5,3.7,33.1,100.0"
"01/05/2021,21.8,17.0,12.4,9.3,11.0,23.4,34.2,48.9,28.8,21.7,13.4,18.4,19.4,14.8,12.7,14.0,13.7,19.7,27.7,16.9,9.2,6.7,9.7,15.9,48.9,6.7,18.4,100.0"
"01/06/2021,10.6,10.1,9.7,11.7,25.6,20.5,14.3,12.0,14.5,20.4,16.0,15.4,18.3,6.9,6.7,6.4,6.2,4.7,3.8,5.5,4.7,4.2,3.8,2.5,25.6,2.5,10.6,100.0"
"01/07/2021,2.7,3.2,3.2,3.1,3.3,5.4,7.8,6.9,8.9,7.4,5.8,PMA,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,CAL,8.9,2.7,5.2,45.8"
"01/08/2021,CAL,CAL,CAL,CAL,CAL,CAL,CAL,14.4,SPZ,7.1,10.8,2.8,2.5,3.3,4.4,3.3,4.6,5.8,7.0,2.9,2.5,3.0,3.5,5.0,14.4,2.5,5.2,66.7"
"01/09/2021,3.5,2.5,3.2,6.1,6.0,5.8,5.8,14.4,13.1,7.7,6.7,5.4,4.8,4.4,5.3,4.9,4.7,8.4,21.7,13.6,11.4,7.1,4.8,6.9,21.7,2.5,7.4,100.0"
"01/10/2021,5.3,CAL,CAL,CAL,CAL,6.7,7.8,7.4,7.1,7.1,7.3,7.3,7.2,5.4,3.3,3.6,6.0,4.9,3.0,3.2,4.6,5.9,2.6,2.3,7.8,2.3,5.4,83.3"
"01/11/2021,1.8,1.6,1.8,1.9,1.9,2.3,4.7,4.5,6.5,6.2,4.7,4.5,3.7,3.4,5.1,4.3,5.4,4.3,3.3,2.2,1.8,2.0,2.1,3.4,6.5,1.6,3.5,100.0"
"01/12/2021,6.1,10.4,13.2,11.2,13.2,87.6,58.7,73.8,67.3,30.7,25.9,11.9,7.5,6.1,10.4,10.6,12.2,10.5,16.0,25.8,23.9,14.8,16.2,15.4,87.6,6.1,24.1,100.0"
"01/13/2021,20.5,23.6,31.3,27.9,33.6,60.6,95.0,84.1,64.2,47.8,46.9,29.8,22.4,18.2,18.3,10.7,15.4,15.0,23.0,11.9,11.8,15.5,16.7,17.9,95.0,10.7,31.8,100.0"
"01/14/2021,21.4,23.7,21.0,19.7,18.4,22.5,27.9,42.6,44.1,26.0,18.9,11.0,8.8,7.2,16.4,6.3,8.4,8.3,7.4,8.1,8.5,10.4,7.5,4.5,44.1,4.5,16.6,100.0"
"01/15/2021,3.8,4.3,5.7,4.2,5.1,60.4,44.2,31.3,34.4,16.4,4.9,4.5,3.7,3.3,4.3,3.0,3.9,4.7,9.1,7.3,11.0,19.7,26.7,34.3,60.4,3.0,14.6,100.0"
"01/16/2021,22.5,19.0,7.3,6.5,6.7,8.1,11.8,16.4,16.3,9.1,5.8,5.9,3.3,3.6,3.3,3.2,3.8,6.0,28.6,19.4,49.4,57.7,68.1,81.3,81.3,3.2,19.3,100.0"
"01/17/2021,81.7,SPN,SPN,146.8,151.4,138.7,111.0,105.0,79.5,37.0,20.9,11.7,7.8,3.0,3.6,2.7,3.0,6.3,10.6,17.3,10.6,13.6,22.8,52.3,151.4,2.7,47.1,91.7"
"01/18/2021,58.6,75.7,71.3,71.0,91.4,97.9,124.9,182.3,102.1,43.2,19.2,19.0,13.5,12.2,14.8,13.6,13.6,18.3,13.6,19.9,20.0,29.9,26.9,24.9,182.3,12.2,49.1,100.0"
"01/19/2021,19.0,11.8,16.3,18.5,21.0,22.6,23.5,36.7,44.7,26.2,31.4,24.8,13.8,21.2,22.5,23.2,34.1,40.2,60.2,52.5,49.9,45.1,34.3,35.8,60.2,11.8,30.4,100.0"
"01/20/2021,14.7,16.3,7.5,7.0,7.1,5.4,10.1,10.8,15.3,13.0,9.6,11.6,12.2,16.2,20.1,14.0,15.0,16.0,10.8,8.6,8.3,6.7,8.3,13.8,20.1,5.4,11.6,100.0"
"01/21/2021,16.8,22.7,13.4,22.4,6.6,8.9,18.1,22.7,29.2,38.1,33.0,29.5,26.6,24.6,36.3,22.1,23.8,13.5,15.6,15.4,9.4,9.4,12.1,15.7,38.1,6.6,20.2,100.0"
"01/22/2021,18.5,10.5,7.8,4.6,5.6,7.4,17.1,17.4,16.6,15.6,15.8,17.5,13.0,10.6,10.1,14.9,17.0,11.1,18.9,11.2,6.7,6.9,6.6,3.0,18.9,3.0,11.8,100.0"
