CAMS 15 Monthly Oxides of Nitrogen Summary Report for June 2021
Channelview C15/AH115  - EPA Site: 48_201_0026
Oxides of Nitrogen (POC 2) measured in parts per billion
Central Standard Time
"Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Max,Min,Avg,Cap"
"06/01/2021,4.0,5.0,5.8,7.6,11.8,17.0,20.3,15.4,10.7,7.3,6.5,8.2,8.7,23.7,7.8,9.7,6.5,6.1,7.7,8.4,20.2,24.3,16.8,17.7,24.3,4.0,11.5,100.0"
"06/02/2021,12.2,10.8,17.3,21.0,23.0,14.6,13.1,14.5,13.5,12.6,8.5,6.0,7.1,8.5,13.6,22.0,18.6,8.3,14.0,12.8,6.2,7.2,9.3,9.4,23.0,6.0,12.7,100.0"
"06/03/2021,12.1,11.0,6.8,10.6,29.1,27.5,17.1,15.6,13.3,9.9,9.4,PMA,7.2,22.3,CAL,CAL,CAL,CAL,5.3,3.3,5.0,5.2,13.0,19.0,29.1,3.3,12.8,79.2"
"06/04/2021,10.1,9.7,6.0,9.1,10.2,15.3,18.8,14.0,13.5,12.6,14.8,13.7,10.5,9.5,6.2,10.3,15.4,19.4,10.3,6.9,7.2,9.5,13.8,13.4,19.4,6.0,11.7,100.0"
"06/05/2021,16.7,17.2,28.6,21.9,10.2,10.3,9.1,15.4,13.2,4.9,4.8,6.3,11.6,9.8,12.2,12.7,8.9,8.3,8.3,11.9,17.2,13.4,8.1,8.9,28.6,4.8,12.1,100.0"
"06/06/2021,13.0,SPN,SPN,12.7,22.9,27.8,19.6,18.5,8.2,3.5,4.0,5.7,4.7,4.5,6.4,6.5,2.7,3.7,3.6,4.1,8.8,6.8,5.3,5.6,27.8,2.7,9.0,91.7"
"06/07/2021,6.0,6.7,2.3,2.9,3.9,7.1,6.3,6.7,6.1,5.9,4.1,4.3,4.1,4.7,4.1,4.8,5.0,6.7,6.8,7.3,7.3,6.4,3.2,2.7,7.3,2.3,5.2,100.0"
"06/08/2021,3.3,3.1,2.1,3.0,3.9,7.4,9.3,6.7,6.5,5.6,7.0,11.3,12.3,7.4,6.6,3.9,3.9,4.3,2.7,5.0,7.1,12.7,9.9,6.9,12.7,2.1,6.3,100.0"
"06/09/2021,5.8,5.2,3.5,4.4,5.3,6.6,6.5,6.6,5.7,5.2,5.7,5.5,5.9,11.2,14.1,8.1,4.2,3.4,3.5,3.2,3.1,3.4,5.9,4.0,14.1,3.1,5.7,100.0"
"06/10/2021,3.3,3.3,6.8,5.8,3.6,11.3,11.8,9.5,6.5,4.0,5.0,PMA,7.2,4.0,4.2,5.8,4.0,6.1,5.1,4.2,5.0,3.5,2.4,1.6,11.8,1.6,5.4,95.8"
"06/11/2021,3.2,3.3,4.0,3.1,8.8,17.9,9.5,9.3,5.6,3.7,5.2,3.4,2.7,3.5,3.3,2.9,2.8,2.3,2.5,2.3,2.3,2.3,2.7,3.8,17.9,2.3,4.6,100.0"
"06/12/2021,3.3,3.1,3.9,8.1,9.1,15.5,19.5,7.9,4.5,4.4,3.9,4.5,4.7,7.3,6.7,7.1,5.7,8.0,7.0,3.3,3.8,4.0,4.5,7.5,19.5,3.1,6.6,100.0"
"06/13/2021,3.0,SPN,SPN,6.5,5.9,5.2,4.4,3.5,2.8,2.4,2.3,2.2,2.2,2.2,2.6,3.6,6.5,3.3,4.3,4.2,5.3,5.6,6.7,6.2,6.7,2.2,4.1,91.7"
"06/14/2021,9.7,8.3,3.9,5.5,7.9,13.8,7.4,14.0,15.0,15.7,8.4,5.8,3.9,4.3,5.6,5.4,5.1,7.5,14.7,13.0,21.0,23.2,22.0,28.4,28.4,3.9,11.2,100.0"
"06/15/2021,17.5,15.2,14.2,15.1,18.5,21.5,31.5,20.4,9.4,8.9,6.4,5.6,6.8,6.9,7.7,7.9,6.8,6.4,LIM,LIM,LIM,LIM,LIM,LIM,31.5,5.6,12.6,75.0"
"06/16/2021,LIM,SPZ,SPZ,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,LIM,4.4,SPZ,7.4,5.6,6.1,16.2,8.6,6.1,CAL,CAL,CAL,16.2,4.4,7.8,29.2"
"06/17/2021,CAL,CAL,12.2,14.5,9.9,10.9,16.1,15.4,13.0,8.9,8.0,7.2,8.2,6.0,5.3,5.5,6.5,4.5,6.1,10.0,18.9,22.6,22.6,23.5,23.5,4.5,11.6,91.7"
"06/18/2021,18.0,17.3,7.6,7.6,8.4,7.8,7.8,16.9,12.1,6.2,5.8,QAS,QAS,5.1,3.8,4.1,4.5,4.5,4.5,4.6,3.8,3.4,5.0,6.0,18.0,3.4,7.5,91.7"
"06/19/2021,4.6,4.7,11.6,12.9,12.3,12.7,14.2,17.1,12.2,6.6,8.0,4.7,3.3,5.5,6.7,7.8,6.3,7.1,8.8,3.8,3.4,3.3,2.9,4.0,17.1,2.9,7.7,100.0"
"06/20/2021,3.5,SPN,SPN,6.7,10.9,22.1,13.5,4.8,4.0,3.0,2.0,2.0,2.4,2.1,3.0,2.7,4.1,4.9,3.1,4.5,4.0,5.3,6.0,2.5,22.1,2.0,5.3,91.7"
"06/21/2021,2.1,1.8,1.8,2.2,3.4,4.8,5.4,7.3,3.7,5.2,6.9,5.3,4.5,4.5,4.5,11.2,5.1,14.1,13.0,9.8,5.0,16.7,20.2,14.0,20.2,1.8,7.2,100.0"
