CAMS 15 Monthly Oxides of Nitrogen Summary Report for September 2021
Channelview C15/AH115  - EPA Site: 48_201_0026
Oxides of Nitrogen (POC 2) measured in parts per billion
Central Standard Time
"Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Max,Min,Avg,Cap"
"09/01/2021,6.8,8.9,14.1,18.2,18.3,66.6,70.1,39.1,21.3,16.5,18.3,18.7,19.5,9.5,12.9,14.7,7.8,7.8,8.0,7.4,13.1,6.2,8.8,12.4,70.1,6.2,18.5,100.0"
"09/02/2021,9.9,13.5,7.6,17.4,39.8,68.7,68.6,41.2,13.5,9.2,7.0,6.6,12.8,16.7,14.5,13.1,14.1,12.2,10.6,10.7,11.4,19.8,19.7,21.9,68.7,6.6,20.0,100.0"
"09/03/2021,26.6,18.6,31.4,20.7,37.0,66.6,66.0,55.3,17.3,14.9,13.3,8.6,7.5,8.7,5.9,11.1,15.6,12.5,15.6,13.0,11.5,16.3,23.9,26.0,66.6,5.9,22.7,100.0"
"09/04/2021,22.6,20.7,19.8,20.6,25.2,37.4,33.8,25.8,16.6,7.0,4.6,4.5,4.0,3.2,3.6,5.5,8.6,6.5,4.1,2.4,3.0,4.0,6.2,8.7,37.4,2.4,12.4,100.0"
"09/05/2021,9.9,SPN,SPN,4.4,6.3,7.8,6.0,5.4,4.6,3.2,2.6,2.1,2.2,2.2,2.8,2.5,2.4,4.7,10.4,13.4,12.6,7.0,7.1,15.6,15.6,2.1,6.1,91.7"
"09/06/2021,7.3,6.9,8.3,4.8,3.3,2.6,4.5,6.0,7.8,9.5,7.2,4.3,4.5,4.1,4.3,6.4,8.9,8.6,10.2,7.9,13.6,15.3,17.4,14.5,17.4,2.6,7.8,100.0"
"09/07/2021,13.2,10.3,6.4,8.1,12.9,29.9,25.4,17.9,16.7,9.2,PMA,4.6,4.2,4.0,4.8,6.3,6.9,6.6,7.6,13.5,22.6,27.2,14.7,18.2,29.9,4.0,12.7,95.8"
"09/08/2021,19.2,26.9,22.1,20.5,28.5,32.9,32.0,21.7,12.3,5.2,3.4,2.9,2.9,7.7,5.1,5.1,5.9,5.5,11.1,22.2,24.2,22.1,24.6,26.5,32.9,2.9,16.3,100.0"
"09/09/2021,32.1,27.8,SPZ,21.9,21.6,27.3,24.7,29.1,16.3,12.6,7.9,5.7,4.8,7.7,7.3,8.8,7.3,10.2,9.2,14.1,24.5,24.4,19.2,13.7,32.1,4.8,16.4,95.8"
"09/10/2021,10.2,10.3,9.4,12.9,16.0,15.4,16.4,15.7,15.5,13.6,10.7,5.9,5.5,5.0,5.9,6.3,6.1,6.2,10.2,23.6,29.6,26.4,15.5,14.8,29.6,5.0,12.8,100.0"
"09/11/2021,15.4,9.8,13.7,14.3,22.5,21.5,14.1,15.8,11.5,8.5,5.6,5.5,4.9,6.0,6.4,5.1,6.0,5.5,7.9,7.6,8.9,10.7,7.3,7.3,22.5,4.9,10.1,100.0"
"09/12/2021,5.9,SPN,SPN,7.7,9.1,10.4,7.8,9.2,8.6,6.6,5.5,3.7,3.7,4.5,5.6,10.2,6.1,6.1,5.7,7.4,9.8,8.7,6.7,5.1,10.4,3.7,7.0,91.7"
"09/13/2021,8.9,11.8,7.0,5.9,5.0,8.0,11.2,8.6,7.1,9.4,8.0,10.1,10.9,12.1,10.0,8.8,7.6,5.6,6.3,6.5,4.7,5.0,1.8,1.6,12.1,1.6,7.6,100.0"
"09/14/2021,1.3,1.9,2.5,1.1,0.6,1.2,1.9,3.2,3.6,4.7,6.5,5.5,5.7,FEW,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,6.5,0.6,3.1,54.2"
"09/15/2021,LST,LST,LST,LST,LST,LST,LST,LST,AQI,AQI,CAL,CAL,CAL,CAL,3.0,3.8,4.6,4.7,5.7,6.4,5.2,2.9,2.8,3.3,6.4,2.8,4.2,41.7"
"09/16/2021,4.3,3.0,6.4,5.7,5.6,7.1,8.1,7.7,8.6,9.1,8.6,5.6,3.7,8.6,3.3,5.2,6.1,3.6,6.3,6.4,4.1,4.6,6.8,3.9,9.1,3.0,5.9,100.0"
"09/17/2021,2.6,3.1,3.3,5.0,26.5,35.3,32.9,34.1,15.6,8.1,8.0,5.6,4.1,5.6,4.9,5.3,6.8,4.8,25.4,30.0,31.1,21.3,19.0,23.3,35.3,2.6,15.1,100.0"
"09/18/2021,20.1,21.9,22.9,26.1,28.4,34.4,44.7,30.1,16.4,9.4,4.8,4.5,4.0,3.0,2.5,2.3,2.7,6.7,5.2,20.2,20.3,42.6,33.8,19.9,44.7,2.3,17.8,100.0"
"09/19/2021,16.7,CAL,CAL,CAL,CAL,31.9,36.5,18.0,8.4,4.9,3.9,3.8,7.1,12.1,10.9,9.5,9.3,9.8,13.8,9.9,3.6,4.8,5.1,4.7,36.5,3.6,11.2,83.3"
"09/20/2021,6.8,3.8,5.6,8.1,12.3,24.9,37.8,34.5,15.5,9.8,8.8,5.6,4.5,6.5,13.1,16.8,10.1,12.9,10.5,7.4,8.8,3.8,3.0,4.0,37.8,3.0,11.5,100.0"
"09/21/2021,3.2,3.5,3.8,6.9,10.1,21.1,24.6,27.4,17.6,QAS,QAS,QAS,4.7,8.9,3.7,4.2,8.2,18.8,16.8,8.2,1.9,2.0,4.8,4.3,27.4,1.9,9.7,87.5"
"09/22/2021,3.1,3.9,2.8,3.8,6.9,5.5,7.8,8.6,6.8,9.3,7.1,6.1,6.5,5.7,3.2,4.0,5.5,5.1,6.8,10.8,10.1,14.1,15.6,8.2,15.6,2.8,7.0,100.0"
"09/23/2021,10.7,6.6,9.6,5.8,11.2,47.5,23.1,24.5,21.8,18.3,7.3,5.7,6.1,5.1,6.3,7.3,8.8,15.3,25.9,23.0,23.9,28.6,30.7,22.2,47.5,5.1,16.5,100.0"
"09/24/2021,17.4,17.2,21.3,23.4,33.8,36.9,25.3,45.4,17.0,11.9,7.0,5.8,5.5,6.9,6.9,8.5,10.0,12.1,28.2,34.9,22.4,23.2,20.6,23.2,45.4,5.5,19.4,100.0"
"09/25/2021,17.5,14.4,16.7,17.0,17.2,40.5,25.9,27.7,15.5,8.9,5.0,4.1,4.2,4.0,4.0,5.2,4.3,4.7,10.0,42.9,37.2,30.7,23.3,20.6,42.9,4.0,16.7,100.0"
"09/26/2021,19.4,SPN,SPN,24.9,22.1,30.1,14.2,10.8,16.4,6.5,4.2,5.2,4.3,4.1,3.4,4.6,6.4,7.7,13.3,17.2,14.4,10.0,14.0,24.9,30.1,3.4,12.6,91.7"
"09/27/2021,29.9,38.5,15.3,15.2,18.0,19.6,23.5,19.2,12.2,10.9,10.2,7.8,5.4,6.6,10.1,13.7,10.4,13.3,19.4,25.6,21.4,7.4,3.9,3.9,38.5,3.9,15.1,100.0"
"09/28/2021,7.1,7.9,8.0,6.0,8.5,25.0,18.4,17.7,23.1,15.8,11.8,13.0,12.1,15.7,12.9,12.9,9.2,7.0,9.0,9.6,7.5,19.2,17.9,18.9,25.0,6.0,13.1,100.0"
"09/29/2021,19.2,15.2,4.8,7.8,2.4,5.6,6.8,15.3,21.4,14.5,11.4,13.3,9.9,10.1,6.0,6.3,14.1,11.5,13.5,28.7,42.0,27.1,26.4,23.1,42.0,2.4,14.9,100.0"
"09/30/2021,23.8,22.3,13.4,13.1,28.4,29.8,15.8,PMA,20.9,10.1,9.6,10.9,9.5,9.9,9.3,11.9,10.2,8.6,8.8,8.3,9.2,11.6,14.5,7.8,29.8,7.8,13.8,95.8"


CAMS 15 Monthly Ozone Summary Report for September 2021
Channelview C15/AH115  - EPA Site: 48_201_0026
Ozone (POC 3) measured in parts per billion
Data from this instrument meets EPA quality assurance criteria for regulatory purposes.
Central Standard Time
"Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Max,Min,Avg,Cap"
"09/01/2021,6,6,3,1,0,1,1,4,10,17,16,20,36,29,23,21,27,27,20,15,9,12,8,6,36,0,13,100.0"
"09/02/2021,5,3,6,2,1,0,1,3,11,18,27,37,26,24,22,24,22,23,20,19,15,7,7,4,37,0,13,100.0"
"09/03/2021,2,3,1,1,1,0,1,4,14,17,26,42,53,32,38,29,26,28,20,14,16,11,3,2,53,0,16,100.0"
"09/04/2021,1,1,0,0,0,0,2,7,16,20,27,35,39,44,48,48,31,22,19,SPN,11,10,8,5,48,0,17,95.8"
"09/05/2021,5,7,7,7,4,4,7,11,15,21,28,31,36,38,43,43,42,41,28,16,10,9,9,4,43,4,19,100.0"
"09/06/2021,8,6,5,8,15,16,14,19,27,33,37,36,40,46,50,63,69,45,27,29,22,20,20,23,69,5,28,100.0"
"09/07/2021,19,12,12,11,7,1,2,16,28,40,PMA,PMA,51,51,54,56,54,47,42,33,23,15,18,12,56,1,27,91.7"
"09/08/2021,8,2,7,6,1,0,4,24,43,53,55,61,65,64,65,55,51,48,40,23,14,9,5,2,65,0,29,100.0"
"09/09/2021,1,2,8,15,14,12,13,19,32,47,58,58,59,56,60,57,48,44,42,34,23,23,20,28,60,1,32,100.0"
"09/10/2021,28,25,22,17,14,14,12,16,25,43,52,55,53,54,52,51,50,50,44,35,25,25,35,31,55,12,34,100.0"
"09/11/2021,25,27,21,21,14,15,17,22,36,49,58,63,64,65,60,61,58,56,51,SPN,44,41,45,43,65,14,41,95.8"
"09/12/2021,45,43,37,36,29,27,29,30,35,45,53,56,53,53,51,34,27,24,24,20,15,16,14,13,56,13,33,100.0"
"09/13/2021,7,4,7,9,11,11,9,12,14,14,15,16,17,17,14,17,17,18,15,14,16,16,18,17,18,4,13,100.0"
"09/14/2021,18,18,18,18,18,18,18,16,16,16,17,18,19,FEW,LST,LST,LST,LST,LST,LST,LST,LST,LST,LST,19,16,17,54.2"
"09/15/2021,LST,LST,LST,LST,LST,LST,LST,LST,AQI,11,17,20,20,22,24,25,CAL,CAL,19,17,19,20,20,18,25,11,19,54.2"
